lat,long,date
50.1137476006229,21.990430189386874,2019-03-13
51.2186755026911,19.88340976884956,2019-03-17
50.40830024590159,16.308892476141178,2019-04-01
54.5274811786744,17.062431862176258,2019-04-03
54.58790123640888,17.105884737749875,2019-02-26
52.243480608536956,21.173331916916595,2019-04-25
52.244210122108534,21.174933633750012,2019-05-09
54.56713489745232,17.454105880464567,2019-05-27
54.32982919458989,18.7915045808104,2019-06-11
50.52451395092989,18.051909029974357,2019-06-15
54.00011426540558,19.53287003235232,2019-07-06
52.50690744820058,16.835081238988323,2019-07-04
51.09555162834914,17.201348676316798,2019-01-29
51.705555290662396,21.403328180887,2019-08-03
49.96513291248211,22.06139496691537,2019-06-22
54.35947767673458,18.742818061446084,2019-08-26
53.72464621134793,20.606376606351432,2019-09-17
51.95519566101682,16.171412182597347,2019-09-25
